"ligando","nanoparticula","proteina","y_ligando_proteina","E_nano_proteina","score_ligando_proteina","score_nano_proteina","score_contextual","score_contextual_medio"
"RGD_peptide_Arg-Gly-Asp","ZnO_12_0","1hzh",-6.305,-7.38,1.1118,1.4142,2.526,1.263
"TAT_peptide_fragment_YGRKKK_6_aa","ZnO_12_0","1hzh",-6.133,-7.38,0.9922,1.4142,2.4064,1.2032
"Glutathione_GSH","ZnO_12_0","2hav",-6.666,-8.44,0.908,1.4138,2.3218,1.1609
"Folic_acid","Au_13","2hav",-10.09,-2.34,2.9591,-0.6778,2.2814,1.1407
"Biotin","ZnO_12_0","2hav",-6.587,-8.44,0.8607,1.4138,2.2745,1.1372
"Folic_acid","Au_13","1ao6",-9.21,-2.34,2.9479,-0.6876,2.2603,1.1301
"Folic_acid","Ag_13","2hav",-10.09,-2.17,2.9591,-0.7361,2.2231,1.1115
"Folic_acid","Ag_13","1ao6",-9.21,-2.24,2.9479,-0.7264,2.2215,1.1107
"Glutathione_GSH","ZnO_12_0","1ao6",-5.991,-7.76,0.7956,1.414,2.2096,1.1048
"HEPES","ZnO_12_0","1hzh",-5.747,-7.38,0.7237,1.4142,2.1379,1.069
"Folic_acid","Ag_13","1hzh",-8.75,-2.13,2.812,-0.7051,2.1069,1.0535
"Folic_acid","Au_13","1hzh",-8.75,-2.12,2.812,-0.7091,2.1029,1.0514
"Glutathione_GSH","ZnO_12_0","1hzh",-5.569,-7.38,0.6,1.4142,2.0142,1.0071
"Arginine","ZnO_12_0","1hzh",-5.494,-7.38,0.5478,1.4142,1.962,0.981
"HEPES","ZnO_12_0","1ao6",-5.595,-7.76,0.5308,1.414,1.9448,0.9724
"Citric_acid","ZnO_12_0","1hzh",-5.439,-7.38,0.5096,1.4142,1.9238,0.9619
"SDS_dodecyl_sulfate_anion","ZnO_12_0","2hav",-5.888,-8.44,0.4419,1.4138,1.8558,0.9279
"HEPES","ZnO_12_0","2hav",-5.867,-8.44,0.4294,1.4138,1.8432,0.9216
"Lipoic_acid_thioctic_acid","ZnO_12_0","1hzh",-5.311,-7.38,0.4205,1.4142,1.8348,0.9174
"Mannose","ZnO_12_0","1hzh",-5.292,-7.38,0.4073,1.4142,1.8215,0.9108
"Lipoic_acid_thioctic_acid","ZnO_12_0","1ao6",-5.395,-7.76,0.397,1.414,1.8111,0.9055
"D-Galactose","ZnO_12_0","2hav",-5.792,-8.44,0.3844,1.4138,1.7982,0.8991
"Sodium_citrate_citrate3-","ZnO_12_0","2hav",-5.775,-8.44,0.3742,1.4138,1.7881,0.894
"Histidine","ZnO_12_0","1hzh",-5.211,-7.38,0.351,1.4142,1.7652,0.8826
"5-Fluorouracil","ZnO_12_0","1ao6",-5.307,-7.76,0.3382,1.414,1.7522,0.8761
"Sodium_citrate_citrate3-","ZnO_12_0","1hzh",-5.172,-7.38,0.3239,1.4142,1.7381,0.869
